seed,difficulty,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,runtime_s,hota,deta,assa,tp,fp,fn
0,"S3 (N=15, I=600+/-150)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,1.587612000061199,0.4306814004665064,0.7902264600715138,0.23472571228633007,663,89,87
0,"S3 (N=15, I=600+/-150)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,1.4217066001147032,0.42363938096631676,0.7902264600715138,0.22711252302192256,663,89,87
0,"S3 (N=15, I=600+/-150)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,1.3344347001984715,0.418269933370052,0.7750294464075382,0.22573301952890307,658,99,92
0,"S3 (N=15, I=600+/-150)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,1.4361744998022914,0.4398232012105219,0.7796208530805687,0.24812631365451684,658,94,92
0,"S3 (N=15, I=600+/-150)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,1.110948899993673,0.43792925732216664,0.7867298578199052,0.24377114013466913,664,94,86
0,"S3 (N=15, I=600+/-150)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3754757998976856,0.41511550375605877,0.7822485207100591,0.22028917523836045,661,95,89
1,"S3 (N=15, I=600+/-150)",distance_only,ablation,1.0,0.0,0.0,1.235728200059384,0.4326790609636815,0.8198830409356725,0.22833887328949115,701,105,49
1,"S3 (N=15, I=600+/-150)",intensity_only,ablation,0.0,1.0,0.0,1.5389022999443114,0.39948783828979667,0.833729216152019,0.19141770475314088,702,92,48
1,"S3 (N=15, I=600+/-150)",sigma_only,ablation,0.0,0.0,1.0,1.2569150999188423,0.39595730018022585,0.8300117233294255,0.1888915290703524,708,103,42
1,"S3 (N=15, I=600+/-150)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,1.4928204999305308,0.4564408353258976,0.8260355029585799,0.25221462686144364,698,95,52
1,"S3 (N=15, I=600+/-150)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,1.7608694999944419,0.46092588344744806,0.828978622327791,0.25628244723035015,698,92,52
1,"S3 (N=15, I=600+/-150)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,1.6982330998871475,0.4664276755685303,0.8234597156398105,0.26419601639799317,695,94,55
1,"S3 (N=15, I=600+/-150)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,1.071666699834168,0.47424171945878335,0.8405275779376499,0.26757623946980924,701,84,49
1,"S3 (N=15, I=600+/-150)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,1.9223462999798357,0.4551732668490489,0.8301886792452831,0.24956098298326998,704,98,46
1,"S3 (N=15, I=600+/-150)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,1.4078421001322567,0.45693021545112983,0.8498212157330155,0.245681347943435,713,89,37
1,"S3 (N=15, I=600+/-150)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,1.605338300112635,0.4622063875160158,0.8407185628742515,0.2541097034068454,702,85,48
